gene_id	start	stop1	stop2	len_cdna
AT5G53120.4	182	1261	1351	1422
AT5G12050.1	308	1396	1444	1609
AT2G31830.3	77	2794	2884	3728
AT2G31170.3	462	1667	1766	1871
AT4G38790.1	91	912	1005	1141
AT5G02080.2	611	1261	1321	1474
AT1G32410.3	151	573	717	842
AT4G19150.2	487	1149	1206	1328
AT5G48400.1	179	2431	2872	3134
AT1G09932.4	162	869	1010	1135
AT2G44440.1	326	1615	1681	1836
AT3G12880.1	150	689	737	823
AT5G39790.1	141	962	1022	1278
AT5G41740.2	62	3406	3505	3724
AT3G52880.1	232	1536	1584	1846
AT2G31600.2	63	713	869	1385
AT2G15050.1	140	511	559	2801
AT3G56860.10	143	1579	1663	3430
AT4G30120.2	311	1462	1528	2301
AT5G14260.1	236	1780	1900	2305
AT1G79220.1	377	1576	1699	1721
AT4G04870.1	147	1172	1235	1402
AT2G39830.2	493	2088	2211	2295
AT1G48175.1	220	768	936	1033
AT1G66660.2	95	1141	1189	1321
AT5G19660.2	878	3292	3343	3470
AT2G37040.1	519	2696	2753	2931
AT1G23935.2	177	3875	3923	4000
AT2G46790.1	268	1674	1842	1952
AT4G16515.2	17	460	541	680
AT5G39030.1	256	2676	2739	2810
AT5G19473.1	107	406	502	682
AT2G41060.2	133	1488	1539	2503
AT2G40116.1	222	2063	2147	2351
AT4G16265.2	55	456	555	633
AT2G43110.1	49	915	1044	1166
AT5G42760.2	158	1252	1321	1339
AT3G10650.1	189	4118	4262	4606
AT1G78720.1	73	1500	1548	1668
AT4G05030.1	1	333	396	423
AT4G15415.4	544	2112	2211	2546
AT1G56720.3	219	1697	1799	1983
AT2G32487.4	35	244	325	1004
AT5G48690.2	248	1069	1186	1313
AT3G01550.2	249	1385	1466	1525
AT1G51745.1	447	2354	2435	2783
AT3G53390.1	316	1992	2076	2371
AT1G49980.8	95	2092	2146	2809
AT2G42560.1	92	1999	2080	2174
AT3G11710.1	104	1984	2095	2295
AT5G08470.1	15	3407	3470	3741
AT5G56250.2	338	2773	2860	3238
AT1G69450.3	233	2449	2536	2779
AT2G30630.1	114	1709	1814	1920
AT2G41445.2	101	805	862	1082
AT1G73680.3	300	1868	1967	2145
AT3G52600.2	318	1892	1970	2081
AT3G59880.1	194	571	808	1082
AT4G08685.1	160	639	744	750
AT2G22470.1	169	564	744	837
AT3G17300.2	330	554	605	752
AT5G49870.2	1	1806	1914	1961
AT3G51370.3	302	1441	1546	1670
AT5G35530.1	97	843	1086	1172
AT5G03690.2	346	1425	1530	1666
AT5G13500.3	206	1282	1405	1453
AT4G24890.1	17	1864	2005	2020
AT1G78610.1	447	3017	3086	3282
AT2G04740.1	156	1892	1973	2039
AT2G40360.2	137	2347	2476	2590
AT1G14340.1	120	854	1058	1113
AT5G05590.2	102	869	920	1437
AT4G09840.2	385	705	777	846
AT5G64520.5	82	1110	1182	1451
AT3G18780.1	536	1651	1777	2127
AT5G07770.1	276	2444	2516	2861
AT1G76990.5	933	2294	2402	2570
AT1G01620.1	368	1228	1276	1549
AT5G22210.1	107	349	490	609
AT5G10350.1	66	719	848	1157
AT3G06340.4	486	2507	2639	2953
AT2G22100.1	50	1198	1255	2041
AT5G26000.2	38	1408	1663	1836
AT1G03070.3	319	1062	1188	1248
AT1G79680.1	71	2380	2524	2595
AT5G23480.1	1	1257	1338	1835
AT3G53930.5	235	1815	1968	2048
AT1G68140.3	965	1969	2131	2434
AT4G27652.1	167	379	523	684
AT4G10430.1	151	1194	1269	1491
AT1G33290.1	27	1166	1241	1466
AT3G02190.1	146	301	373	550
AT1G49160.7	398	1690	1822	1859
AT2G44420.3	22	1020	1077	1237
AT5G54250.2	90	2174	2225	2712
AT1G09710.4	168	2000	2114	2135
AT5G60020.1	77	1810	1945	2049
AT4G08280.1	24	404	467	795
AT3G27830.1	122	697	772	978
AT1G22430.1	100	1266	1317	1565
AT1G62330.1	198	2156	2237	2440
AT1G24793.1	20	1000	1132	1364
AT1G24180.1	121	1302	1425	1659
AT1G08315.1	69	1046	1151	1211
AT3G55620.1	302	1039	1129	1282
AT5G37590.2	79	1545	1671	2044
AT5G56190.3	419	1744	1888	2012
AT1G58350.1	631	3015	3165	3255
AT3G07890.5	553	1755	1875	2090
AT2G39950.7	1473	2900	2963	3116
AT5G26000.1	38	1663	1729	1889
AT5G03905.1	149	625	673	858
AT1G24330.2	88	2403	2466	2623
AT1G75500.1	151	1320	1434	1834
AT3G54390.2	248	1186	1273	1360
AT2G25740.2	525	1973	2036	2469
AT2G39375.2	1383	1571	1703	2073
AT5G49740.1	150	2393	2501	2640
AT1G67148.1	87	224	320	498
AT3G48450.1	319	588	669	887
AT5G14850.3	60	1625	1673	2050
AT3G17380.1	51	980	1058	1091
AT1G71890.1	112	1650	1731	1863
AT5G03520.1	369	1019	1124	1312
AT3G07760.9	878	1216	1324	1523
AT4G39680.1	345	2246	2306	2544
AT3G52560.2	131	574	625	868
AT4G03020.1	387	1868	1922	2173
AT2G22920.3	112	882	996	1062
AT4G32360.6	741	1856	1931	2148
AT5G45330.3	19	1542	1617	1837
AT3G02890.1	249	3233	3284	3622
AT4G37490.1	101	1387	1435	1630
AT1G10310.1	130	858	906	1144
AT4G23980.1	450	2366	2609	2998
AT1G31420.2	346	2121	2367	2520
AT5G51470.1	93	1838	1913	2031
AT5G65925.1	78	530	656	810
AT5G45050.2	1	4035	4125	4157
AT2G43420.1	247	1932	2031	2157
AT3G23955.2	41	1375	1453	1618
AT3G62720.2	197	1579	1726	1784
AT1G58230.1	184	7998	8121	8256
AT1G17280.7	540	1253	1358	1535
AT5G25220.1	265	1560	1623	2046
AT5G48170.1	189	662	737	1121
AT5G13500.2	315	1391	1514	1559
AT1G14020.1	211	1710	1878	1974
AT5G53420.2	455	1012	1075	1308
AT1G76900.2	486	1853	1943	2499
AT4G10060.1	128	2896	2971	3040
AT2G26010.1	132	374	428	620
AT4G01960.1	468	1178	1253	1651
AT5G19320.1	286	1923	2028	2141
AT3G18420.1	146	1096	1162	1235
AT3G52040.1	60	332	410	530
AT3G56310.1	158	1471	1627	1641
AT2G18030.2	141	719	767	1167
AT5G38840.1	87	2294	2387	2525
AT4G08230.1	221	562	682	824
AT4G13290.1	399	1871	1919	2336
AT4G32080.1	344	679	802	881
AT5G52800.2	110	1462	1537	1539
AT5G43680.1	84	782	842	1275
AT1G26750.1	1	588	645	809
AT5G35580.2	122	1642	1696	1897
AT5G20130.1	46	654	717	853
AT1G79500.3	136	1008	1059	1672
AT5G48820.2	63	785	854	1123
AT2G32230.2	439	2157	2226	2236
AT4G27040.2	690	1442	1571	1618
AT5G01280.1	26	1480	1582	1666
AT2G14210.1	114	818	995	1096
AT4G34040.1	601	2601	2664	3024
AT1G69710.2	506	3592	3691	3714
AT4G22060.1	26	1225	1282	1427
AT3G20250.1	264	3005	3053	3201
AT1G07280.3	270	1928	2033	2154
AT4G32590.3	94	636	705	724
AT2G33710.2	88	783	837	939
AT4G12490.1	29	577	625	786
AT2G34530.4	78	956	1013	1151
AT1G18193.1	1	333	414	433
AT1G75190.1	374	769	853	1148
AT2G02050.1	73	384	519	724
AT5G05085.1	660	827	947	1273
AT4G20325.2	185	679	751	875
AT5G61540.3	414	1187	1352	1429
AT2G04395.3	42	407	575	928
AT3G18930.3	700	1935	2022	2494
AT5G05930.7	358	975	1089	1180
AT1G25570.1	188	2074	2125	2549
AT4G35570.1	94	471	540	703
AT1G26570.1	316	1761	1854	1908
AT3G13225.3	384	2699	2828	2881
AT2G30570.1	259	660	735	958
AT4G18530.1	412	1581	1809	1846
AT4G19160.4	1147	2169	2250	2434
AT5G59540.2	15	872	920	1414
AT5G57860.1	212	499	643	815
AT3G16740.1	167	1342	1480	1682
AT3G18030.1	338	967	1024	1210
AT5G12220.1	86	1921	2002	2057
AT3G19240.1	340	2286	2337	2884
AT2G23910.4	378	1190	1337	1465
AT5G55490.6	78	1466	1520	2160
AT1G64390.1	306	2168	2219	2762
AT2G31141.2	31	417	480	673
AT4G02890.2	71	760	811	977
AT5G58220.3	141	1076	1166	1236
AT1G13609.2	67	204	318	375
AT3G22231.1	271	516	609	773
AT3G28956.6	431	844	988	1159
AT4G32410.1	457	3702	3786	4221
AT1G79880.1	73	1272	1323	1466
AT3G27610.9	81	1046	1100	1250
AT4G13350.1	131	1939	2023	2339
AT1G05830.1	293	3544	3601	3983
AT5G23550.1	199	726	873	1043
AT5G15610.1	122	1450	1522	1755
AT2G19560.2	22	966	1029	1129
AT5G45370.5	513	1352	1451	1507
AT2G42900.1	43	873	936	955
AT5G52882.1	772	3261	3315	3557
AT4G03200.2	711	2768	2861	2958
AT2G02970.1	286	1953	2055	2351
AT2G45740.1	191	901	1096	1202
AT1G69250.1	419	1702	1768	1905
AT2G16700.4	267	665	713	1011
AT3G17765.1	1	384	456	648
AT1G58520.2	364	2604	2664	3189
AT4G14716.2	312	839	902	1116
AT4G17000.3	171	2156	2222	2303
AT4G25434.13	535	1188	1359	1516
AT4G03100.1	202	1494	1554	1868
AT1G26600.2	47	544	655	1088
AT3G58730.1	260	1045	1180	1352
AT1G44120.2	237	6662	6722	6871
AT3G06670.1	301	2898	2964	3407
AT4G38070.1	211	981	1029	1190
AT5G14360.1	147	638	689	848
AT1G21630.1	450	4106	4166	4463
AT5G43310.3	178	3672	3810	3861
AT1G09195.15	320	1282	1330	1946
AT2G34238.1	134	292	364	430
AT2G31865.3	100	1365	1767	2013
AT2G40815.1	172	1275	1332	1470
AT1G52710.2	401	571	709	1008
AT5G38400.1	1	456	516	589
AT2G22990.4	78	1328	1397	1637
AT4G23515.2	99	941	1121	1270
AT2G06850.1	171	1061	1160	1314
AT1G76650.3	78	611	680	713
AT5G54350.1	1	786	1092	1213
AT1G13890.2	131	922	1012	1096
AT5G44610.3	42	548	641	701
AT3G28890.2	60	2195	2291	2418
AT5G45410.5	458	1486	1567	1649
AT4G36760.1	152	2089	2266	2318
AT3G06720.2	216	1814	1877	2335
AT3G02540.2	192	1091	1148	1500
AT1G77980.1	120	1118	1304	1489
AT1G61800.2	114	1346	1400	1724
AT1G78780.4	17	724	775	827
AT1G17890.2	357	1319	1385	1530
AT5G25450.3	109	378	429	641
AT1G21380.1	333	1853	1937	2023
AT5G54860.1	297	1772	1868	1953
AT4G14530.1	317	724	844	961
AT5G57270.5	532	1698	1821	2078
AT3G13430.3	278	1225	1300	1385
AT5G08400.1	29	1030	1096	1797
AT3G26600.1	224	2071	2176	2447
AT3G03660.3	68	1048	1129	2513
AT5G53360.1	460	1161	1302	1459
AT5G07140.1	52	1803	1983	2215
AT3G11750.1	115	555	648	864
AT2G01930.1	210	1061	1118	1305
AT2G04340.1	148	669	765	1060
AT3G03180.3	148	726	783	877
AT3G55640.4	328	1326	1542	1574
AT5G52960.1	135	647	797	912
AT5G53330.1	21	686	740	933
AT5G24260.2	485	2725	2905	2906
AT2G38700.1	290	1528	1792	1943
AT4G27610.9	575	1579	1663	1812
AT5G53020.6	1476	3641	3695	3822
AT3G27270.2	36	854	914	1404
AT5G40020.1	23	793	880	1110
AT3G11910.3	274	3621	3702	3973
AT3G10650.2	275	4204	4348	4659
AT5G22520.1	150	470	599	684
AT5G35930.2	240	2963	3041	3593
AT1G16610.7	171	1337	1406	1895
AT1G65960.1	2236	3333	3474	3511
AT5G51640.1	147	1652	1718	1873
AT4G16590.1	62	1624	1705	1843
AT3G02060.2	1	2469	2556	2888
AT2G25720.1	74	427	550	661
AT5G65010.1	190	1926	2001	2223
AT5G41480.1	105	1697	1745	1856
AT3G49845.2	38	397	535	714
AT5G24980.1	124	252	354	885
AT1G10210.2	360	1472	1589	1876
AT1G55370.1	1085	2011	2071	2603
AT2G32600.1	234	1067	1277	1301
AT1G32940.3	107	1930	2014	2702
AT1G35720.1	137	1090	1186	1390
AT3G48610.1	246	1808	1880	1986
AT2G14045.1	355	723	843	998
AT5G10710.1	294	1232	1322	1450
AT3G49850.1	273	1160	1295	1425
AT4G00520.2	32	1354	1510	1611
AT1G02610.1	299	964	1069	1126
AT5G38890.1	90	665	749	936
AT4G26910.1	105	1499	1682	1815
AT5G08160.2	169	1104	1191	1448
AT4G00860.1	133	375	465	700
AT1G15360.1	342	941	998	1171
AT4G39850.1	407	4420	4516	4864
AT5G51980.1	181	1494	1587	1783
AT1G29410.7	144	722	830	1507
AT1G23950.4	65	823	886	1242
AT2G29630.3	192	2126	2213	2406
AT5G23140.1	139	864	1005	1585
AT5G66005.8	555	902	956	1046
AT3G57290.1	247	1572	1623	1841
AT1G09060.1	152	2944	2998	3115
AT1G07270.1	121	1638	1767	1951
AT1G18335.2	48	881	1001	1334
AT3G51590.1	22	381	435	590
AT1G53470.1	208	2853	2955	3102
AT2G43260.2	58	1359	1419	1432
AT3G23920.1	542	2269	2320	2519
AT2G41470.2	1	945	1017	1154
AT3G45700.1	53	1699	1759	1899
AT2G18910.1	266	661	811	975
AT1G68380.1	70	1248	1317	1343
AT4G30710.1	653	2587	2635	2982
AT1G12380.1	533	2914	2965	3155
AT1G23360.1	49	834	903	1177
AT3G46616.2	1	153	390	625
AT1G12080.1	128	442	553	590
AT1G19980.1	148	1176	1281	1586
AT3G26450.1	208	666	813	1024
AT2G38880.8	102	596	644	909
AT2G30860.1	251	898	976	1233
AT2G16390.2	124	2799	2868	2968
AT5G35680.2	243	680	839	911
AT3G43610.3	170	3682	3784	3878
AT1G66680.1	200	1276	1411	1533
AT1G07780.4	453	1094	1202	1537
AT3G18930.2	199	1434	1521	2014
AT1G59830.1	211	1131	1260	1462
AT3G63052.1	16	216	312	398
AT5G27680.5	629	2815	3109	3205
AT1G76760.1	217	735	831	923
AT3G61860.1	146	940	1030	1201
AT4G16950.6	128	4207	4282	4415
AT2G46380.1	354	2660	2726	2837
AT2G38195.2	279	1259	1307	1652
AT3G47490.7	29	598	691	1328
AT3G23350.1	1	846	945	1049
AT1G70770.2	91	1923	1992	2418
AT1G79830.3	271	3141	3192	3588
AT5G58280.1	1	822	870	921
AT5G54380.1	462	3029	3095	3302
AT2G05520.4	56	430	493	665
AT1G70350.1	95	412	538	713
AT5G38550.2	178	1743	2061	2245
AT4G11020.1	1	480	534	568
AT1G69526.2	200	1123	1336	1502
AT2G36910.1	437	4297	4462	4748
AT1G53800.3	245	1963	2053	2194
AT1G01220.8	555	3425	3536	3554
AT1G09140.2	159	929	983	1652
AT5G20830.3	83	2509	2569	2882
AT2G02000.1	74	1576	1630	1711
AT3G57880.3	801	3122	3197	3382
AT1G11280.5	258	2273	2453	2828
AT1G17550.1	648	2183	2240	2642
AT1G29350.1	209	2704	2803	3044
AT3G55730.1	101	1300	1384	1587
AT5G66280.1	269	1354	1402	1589
AT5G19910.1	88	678	744	1184
AT5G63840.2	69	2915	2999	3192
AT4G33400.1	312	2249	2318	2540
AT3G03100.1	120	599	647	782
AT5G13260.1	269	1882	2056	2087
AT4G39920.1	190	1227	1326	1610
AT5G57150.3	52	711	834	930
AT3G03110.1	269	3499	3562	3713
AT5G36670.4	102	3653	3719	3921
AT3G58450.2	39	632	713	741
AT5G37670.1	278	691	799	834
AT1G06780.1	334	2103	2280	2391
AT5G64390.1	99	2672	2783	3867
AT1G49130.2	579	1538	1652	1906
AT1G14940.2	53	472	655	703
AT3G06120.1	90	698	746	941
AT1G61150.8	390	1070	1256	2279
AT5G51720.1	299	625	679	743
AT3G63530.2	530	1276	1354	1628
AT5G45850.1	227	1564	1627	1816
AT2G27030.3	103	648	789	830
AT4G27800.3	101	1081	1129	1414
AT1G72440.1	340	3471	3636	3704
AT1G51520.1	103	1347	1722	2110
AT4G30130.4	223	1866	2049	2958
AT1G57775.1	83	430	493	533
AT2G40935.2	334	834	912	982
AT5G52330.3	145	1338	1506	1579
AT1G61570.1	63	326	401	761
AT2G42170.1	243	1232	1355	1407
AT4G32720.1	120	1421	1505	1734
AT2G18100.2	102	1940	2081	2519
AT3G57020.1	217	1329	1425	1529
AT5G53120.3	219	1298	1388	1461
AT1G23205.1	169	786	837	1067
AT1G76740.1	122	4720	4801	4890
AT3G56350.1	10	735	786	944
AT2G35100.1	138	1481	1532	1907
AT5G54980.1	166	750	1032	1125
AT4G37409.1	517	912	966	1522
AT4G30710.2	653	2587	2635	2925
AT2G38660.1	122	1180	1228	1614
AT3G58120.1	441	1430	1559	1745
AT5G39500.1	425	4756	4861	4997
AT4G22350.3	320	1519	1567	2663
AT4G15850.1	253	1821	1893	2021
AT4G08590.2	36	1430	1502	1615
AT5G05400.2	663	2780	2837	3112
AT5G49680.2	306	8069	8153	8329
AT2G46455.1	208	768	816	904
AT3G49725.1	61	1923	2079	2143
AT4G35270.3	588	3479	3542	3872
AT1G69800.2	5	1435	1489	1621
AT2G34850.3	787	1497	1548	1743
AT4G38900.1	321	1982	2081	2251
AT3G12280.2	298	3336	3456	3544
AT1G50610.1	145	2205	2370	2509
AT5G10510.1	1	1710	1788	1984
AT3G05710.1	317	1309	1399	1744
AT3G59000.1	139	1614	1803	1882
AT4G22760.1	325	2061	2115	2934
AT2G23640.1	13	633	687	699
AT1G15240.2	417	3479	3530	3559
AT1G74250.1	88	1980	2058	2288
AT5G45300.2	29	2092	2191	2271
AT3G49590.2	249	2060	2198	2240
AT3G09650.1	29	2365	2524	2624
AT5G66540.2	139	1713	1791	1942
AT5G27680.4	407	2983	3277	3382
AT4G39390.3	357	1358	1421	1646
AT4G22160.2	145	636	753	902
AT2G19390.1	520	4155	4215	4681
AT4G24990.1	466	822	918	1144
AT3G51430.1	205	1320	1416	1561
AT4G34610.2	268	1866	1980	2066
AT2G25290.3	149	2386	2455	2723
AT5G40645.1	111	332	383	459
AT3G01540.2	275	2134	2209	2540
AT5G04420.1	218	1762	1825	2025
AT5G54390.1	136	1257	1362	1665
AT1G14580.3	467	1912	1993	2204
AT3G14060.1	173	550	652	942
AT2G38695.1	75	713	854	880
AT5G06970.1	386	3691	3787	4152
AT4G22010.1	244	1869	1977	2122
AT2G46780.1	447	1457	1541	1953
AT3G57690.1	124	309	417	460
AT1G17370.1	319	1578	1641	1878
AT1G01920.1	18	1736	1796	1873
AT2G20320.1	350	3439	3538	3836
AT4G24670.2	291	1613	1739	2022
AT2G22490.1	295	1380	1524	1740
AT3G10330.1	196	1134	1203	1458
AT5G60600.4	486	2639	2789	3007
AT1G56600.1	84	1091	1166	1435
AT3G03290.1	61	885	951	1006
AT5G63510.2	88	927	1008	1186
AT2G16600.1	440	961	1015	1333
AT5G51350.1	228	2915	2963	3176
AT5G63950.1	267	3539	3641	3743
AT4G15340.1	12	2312	2450	2542
AT1G65970.1	94	582	651	737
AT5G55250.2	187	1233	1323	1349
AT5G18590.2	413	2539	2587	2701
AT1G59218.1	204	3353	3425	3853
AT2G16210.2	62	715	772	1224
AT2G32765.1	198	524	614	825
AT4G08850.1	457	3594	3681	3808
AT5G66830.1	52	1236	1293	1437
AT3G23080.2	57	1223	1277	1548
AT4G32000.1	297	1553	1622	1738
AT1G22860.1	217	3171	3219	3577
AT1G05835.1	104	487	583	599
AT1G09810.3	299	1654	1708	1856
AT1G01250.1	22	600	669	891
AT1G31250.1	48	545	599	646
AT5G53190.1	46	837	924	1111
AT1G80930.1	270	2972	3050	3407
AT5G08740.1	212	1771	1867	2171
AT2G02410.1	74	1000	1057	1381
AT1G70180.6	302	1525	1612	2173
AT1G65450.2	62	562	631	1240
AT2G38890.2	46	981	1038	1067
AT5G43430.3	145	804	891	990
AT4G00310.1	215	1123	1216	1390
AT5G53460.1	332	6958	7027	7625
AT1G51740.1	221	1153	1207	1337
AT1G14730.1	214	888	939	1118
AT1G14820.2	408	1127	1217	1346
AT1G79480.2	338	1528	1579	1706
AT5G59990.1	118	843	897	1115
AT3G58180.1	236	1180	1264	1379
AT4G34265.6	81	365	503	766
AT2G32890.1	825	1058	1253	1400
AT1G53580.2	85	969	1035	1236
AT2G41370.1	407	1882	1984	2174
AT4G02600.2	170	1750	1897	2156
AT1G26580.1	1054	2535	2631	2900
AT3G10605.2	41	196	259	280
AT4G20380.6	269	823	943	1173
AT5G61410.1	382	1227	1284	1520
AT3G06810.1	292	2766	2925	2963
AT2G27930.6	240	818	881	1058
AT1G13970.1	321	1835	2030	2226
AT5G18240.3	143	1333	1444	1665
AT3G12440.1	1	1062	1149	1153
AT2G37200.2	27	656	710	939
AT1G63860.2	1	2967	3153	3287
AT2G21240.2	99	989	1157	1191
AT5G44040.1	259	1509	1572	1746
AT2G15530.6	361	2409	2478	2612
AT5G47630.2	254	649	772	858
AT5G49210.2	89	676	805	899
AT1G24265.2	223	1269	1383	1488
AT5G14180.3	129	1070	1181	1576
AT4G27780.2	226	1017	1104	1633
AT1G53165.1	236	2278	2332	2609
AT1G03380.1	389	3268	3325	4183
AT1G56610.2	141	1559	1640	2161
AT5G24450.2	234	1766	1850	2203
AT1G08005.1	64	231	348	444
AT1G26190.2	276	1718	1865	2573
AT1G20920.3	222	3722	3791	4823
AT2G02150.1	232	2517	2688	2945
AT2G14050.2	141	2081	2129	2638
AT1G29410.6	83	724	832	1461
AT5G08500.1	129	1901	1994	2199
AT4G14740.2	214	1641	1791	1969
AT3G54730.4	257	733	886	897
AT1G52150.3	804	3188	3308	3618
AT1G14450.1	59	280	331	601
AT5G51300.2	90	2504	2726	3591
AT5G50240.2	24	944	995	1052
AT1G06470.2	529	1773	1875	2759
AT2G45990.4	40	672	723	1133
AT3G25545.1	155	958	1093	1209
AT5G27000.1	161	3124	3190	3346
AT4G00695.4	303	764	836	846
AT3G11620.4	178	897	945	1518
AT5G09490.1	63	521	656	683
AT2G24560.2	126	1076	1316	1457
AT5G61730.2	23	2875	2953	3031
AT5G06530.4	1026	2516	2645	3103
AT5G06440.6	935	2107	2248	2269
AT3G52640.3	180	2036	2147	2786
AT4G14096.2	163	1569	1656	1902
AT3G24140.2	196	1404	1479	2299
AT1G73560.1	16	459	528	532
AT4G04930.1	184	1182	1242	1409
AT4G17310.17	81	380	458	1261
AT4G38930.2	91	1038	1116	1198
AT2G32370.1	240	2417	2519	2863
AT2G25180.1	312	2102	2213	2291
AT5G38030.1	265	1761	1809	2104
AT5G28640.3	785	1231	1288	1587
AT1G48360.1	140	2380	2890	3205
AT1G70895.2	616	915	1041	1447
AT2G46030.4	245	805	859	1029
AT1G13410.1	292	1716	1869	2177
AT2G28270.1	111	857	920	997
AT1G65120.2	414	3857	3929	4135
AT2G47820.2	197	2614	2689	2793
